input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,input23,input24,input25,output1,output2,output3,output4,output5,output6,output7
1.015998e-01,9.616653e-02,6.952440e-02,5.283085e-02,4.010550e-02,3.382535e-02,3.090160e-02,2.890085e-02,2.592787e-02,2.524564e-02,2.435958e-02,2.143254e-02,2.077302e-02,1.435533e-02,1.394786e-02,1.362161e-02,1.153844e-02,1.110264e-02,8.727751e-03,8.383026e-03,8.231290e-03,7.616358e-03,7.332260e-03,6.489450e-03,2.524564e-02,4.029676e-08,-1.398320e-06,8.823242e-06,-2.049626e-05,1.161035e-03,1.715121e-03,2.118642e-02
2.436340e-01,1.523996e-01,1.025004e-01,8.900225e-02,7.994922e-02,7.908371e-02,7.240307e-02,6.447134e-02,5.846125e-02,5.807229e-02,5.375024e-02,4.691385e-02,4.271624e-02,4.115555e-02,3.997495e-02,3.639307e-02,3.423237e-02,3.305585e-02,3.122472e-02,2.965536e-02,2.527402e-02,2.514648e-02,2.466279e-02,2.231386e-02,5.807229e-02,8.020637e-08,-2.378476e-06,1.290088e-05,3.451342e-05,7.261313e-04,1.609013e-03,2.151133e-02
1.007619e-01,9.046425e-02,8.829706e-02,7.902000e-02,7.031573e-02,6.414318e-02,6.373364e-02,5.968138e-02,5.619543e-02,5.183378e-02,4.879377e-02,4.724882e-02,3.908703e-02,3.633831e-02,3.585750e-02,3.409043e-02,3.267154e-02,3.098865e-02,2.884768e-02,2.694064e-02,2.673106e-02,2.623891e-02,2.398149e-02,2.009852e-02,5.183378e-02,6.769259e-08,-2.051823e-06,1.096350e-05,2.329500e-05,8.597847e-04,1.677245e-03,2.164062e-02
5.258917e-02,4.014683e-02,2.904811e-02,2.828847e-02,2.255211e-02,1.664471e-02,1.404810e-02,1.056854e-02,8.758595e-03,6.335468e-03,5.708771e-03,5.562127e-03,5.334855e-03,5.253725e-03,4.058920e-03,3.742930e-03,3.677301e-03,2.754558e-03,2.652621e-03,2.161627e-03,2.127061e-03,1.857095e-03,1.471591e-03,1.345796e-03,6.335468e-03,5.275318e-08,-1.682113e-06,9.446080e-06,2.776201e-06,1.007388e-03,1.653876e-03,2.130543e-02
5.311992e-02,4.429888e-02,4.101358e-02,3.704755e-02,3.170389e-02,3.055580e-02,2.986722e-02,2.355514e-02,2.238243e-02,2.045705e-02,1.993603e-02,1.961180e-02,1.929218e-02,1.669319e-02,1.252894e-02,1.006519e-02,9.666664e-03,7.020039e-03,6.697184e-03,5.979376e-03,5.731058e-03,5.561958e-03,5.325802e-03,5.100170e-03,2.045705e-02,5.753074e-08,-1.782178e-06,9.348459e-06,1.462066e-05,9.548951e-04,1.661893e-03,2.156602e-02
1.693991e-01,1.648095e-01,1.297704e-01,9.455839e-02,8.609914e-02,8.161792e-02,8.022312e-02,7.871709e-02,5.403096e-02,4.961173e-02,4.260068e-02,3.607751e-02,3.413352e-02,3.140361e-02,2.962301e-02,2.758989e-02,2.608680e-02,2.446688e-02,2.423558e-02,2.307897e-02,2.275313e-02,2.264581e-02,1.950326e-02,1.915134e-02,4.961173e-02,5.305624e-08,-1.747299e-06,1.121720e-05,-1.283598e-05,1.039531e-03,1.713682e-03,2.111188e-02
3.747749e-01,1.830173e-01,1.612246e-01,1.360338e-01,1.113010e-01,1.110823e-01,9.175283e-02,8.876278e-02,7.859819e-02,6.469754e-02,6.358794e-02,4.588335e-02,4.491614e-02,4.413746e-02,4.310308e-02,3.591261e-02,3.324313e-02,3.094751e-02,2.849268e-02,2.807336e-02,2.638471e-02,2.445499e-02,2.302819e-02,2.276010e-02,6.469754e-02,9.281152e-08,-2.891604e-06,2.028867e-05,-6.490184e-06,7.578767e-04,1.796966e-03,2.122787e-02
1.485357e-01,1.286999e-01,1.180701e-01,1.079695e-01,9.494626e-02,7.722661e-02,7.166983e-02,6.964829e-02,6.692825e-02,6.411951e-02,6.022356e-02,5.928874e-02,5.862325e-02,5.734031e-02,5.653170e-02,5.351618e-02,5.222959e-02,5.019488e-02,4.731331e-02,4.596424e-02,4.383311e-02,4.316211e-02,4.162697e-02,3.940237e-02,6.411951e-02,5.520270e-08,-1.722527e-06,8.976672e-06,1.258146e-05,9.866808e-04,1.704189e-03,2.168948e-02
1.331997e-01,9.260182e-02,8.417854e-02,8.238526e-02,7.903101e-02,5.418901e-02,4.867787e-02,3.721891e-02,3.290676e-02,2.842302e-02,2.218200e-02,2.197769e-02,2.117370e-02,1.848735e-02,1.784462e-02,1.470687e-02,1.372359e-02,1.192173e-02,1.171363e-02,1.127829e-02,1.052688e-02,1.032798e-02,1.007519e-02,9.597142e-03,2.842302e-02,4.502181e-08,-1.608126e-06,1.226203e-05,-4.099098e-05,1.147296e-03,1.726654e-03,2.058653e-02
1.302453e-01,1.067813e-01,9.224131e-02,8.950744e-02,8.310074e-02,7.557568e-02,7.450051e-02,7.319229e-02,7.154487e-02,6.484645e-02,6.155134e-02,6.056212e-02,5.741008e-02,5.629245e-02,5.539174e-02,5.270052e-02,5.183213e-02,5.079438e-02,4.897500e-02,4.713123e-02,4.595772e-02,4.414598e-02,4.392525e-02,4.354154e-02,6.484645e-02,9.431396e-08,-2.699433e-06,1.361706e-05,6.044559e-05,5.553164e-04,1.503743e-03,2.165534e-02
