sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample10-195rpm-60kx-10,6.559705e-03,6.634896e-01,1.422005e+00,-1.018174e-04,1.759194e-03,2.579946e-03,1.752683e-02,3.136238e-04,9.956933e-01,39,9.950307e-01,2.835778e-03
sample10-195rpm-60kx-11,7.277436e-03,6.553359e-01,1.504133e+00,-9.452324e-05,1.606778e-03,2.817266e-03,1.606004e-02,1.952823e-04,9.969778e-01,39,9.965129e-01,2.237686e-03
sample10-195rpm-60kx-2,7.111487e-03,6.445132e-01,1.558006e+00,-9.679319e-05,1.643734e-03,2.981880e-03,1.661381e-02,1.854254e-04,9.973059e-01,39,9.968915e-01,2.180481e-03
sample10-195rpm-60kx-3,6.786124e-03,6.482839e-01,1.530906e+00,-9.849488e-05,1.683377e-03,2.799551e-03,1.697816e-02,2.326371e-04,9.966484e-01,39,9.961327e-01,2.442346e-03
sample10-195rpm-60kx-4,-1.807358e-03,2.721265e-01,2.384822e+00,-8.095926e-05,1.435013e-03,2.815057e-03,2.127385e-02,1.361419e-03,9.805654e-01,39,9.775754e-01,5.908314e-03
sample10-195rpm-60kx-5,6.822230e-03,6.748645e-01,1.348553e+00,-1.013276e-04,1.751666e-03,2.406825e-03,1.694015e-02,2.896449e-04,9.958706e-01,39,9.952353e-01,2.725214e-03
sample10-195rpm-60kx-6,7.952778e-03,-6.921719e-01,8.262757e+00,-1.103738e-04,1.902055e-03,1.635371e-03,1.492432e-02,6.794309e-04,9.902817e-01,39,9.887865e-01,4.173884e-03
sample10-195rpm-60kx-7,6.957050e-03,6.312297e-01,1.631702e+00,-9.872308e-05,1.672980e-03,3.116468e-03,1.706033e-02,2.075131e-04,9.971203e-01,39,9.966772e-01,2.306697e-03
sample10-195rpm-60kx-9,6.866808e-03,7.018561e-01,1.160638e+00,-1.052354e-04,1.839210e-03,1.862049e-03,1.687819e-02,4.195261e-04,9.940699e-01,39,9.931576e-01,3.279799e-03
sample10-20rpm-60kx-11,-9.399209e-04,-2.305592e+00,1.542699e+01,-8.808091e-05,1.453160e-03,3.424685e-03,1.596106e-02,1.290955e-03,9.788162e-01,39,9.755572e-01,5.753384e-03
sample10-20rpm-60kx-12,7.351004e-03,6.254923e-01,1.692148e+00,-9.392639e-05,1.575749e-03,3.322508e-03,1.652316e-02,1.354093e-04,9.980157e-01,39,9.977104e-01,1.863339e-03
