sample_name,a1,a2,a3,a4,a5,a6,a7,a8,SSE,R_square,DFE,adj_R_square,RMSE
sample10-195rpm-60kx-10,1.841127e-08,-4.048352e-07,-1.000450e-07,3.950382e-05,-1.563898e-04,5.983618e-04,3.504900e-03,2.295967e-02,2.910902e-04,9.960027e-01,38,9.952664e-01,2.767719e-03
sample10-195rpm-60kx-11,1.154303e-08,-1.988712e-07,-1.564516e-06,3.213621e-05,-5.068568e-05,3.733604e-04,2.731123e-03,2.262308e-02,2.217440e-04,9.965683e-01,38,9.959362e-01,2.415651e-03
sample10-195rpm-60kx-2,1.332460e-08,-2.544581e-07,-1.112236e-06,3.316763e-05,-7.505381e-05,4.525668e-04,2.972544e-03,2.292396e-02,2.167958e-04,9.968502e-01,38,9.962699e-01,2.388546e-03
sample10-195rpm-60kx-3,1.580118e-08,-3.292742e-07,-5.678889e-07,3.577719e-05,-1.138523e-04,5.244829e-04,3.189926e-03,2.282729e-02,2.431946e-04,9.964963e-01,38,9.958508e-01,2.529794e-03
sample10-195rpm-60kx-4,1.465027e-08,-2.966710e-07,-7.491098e-07,3.376170e-05,-9.351297e-05,5.071628e-04,3.086062e-03,2.297703e-02,2.120709e-04,9.969726e-01,38,9.964150e-01,2.362375e-03
sample10-195rpm-60kx-5,1.693763e-08,-3.564473e-07,-5.529379e-07,3.944210e-05,-1.378526e-04,5.218935e-04,3.360207e-03,2.274320e-02,3.144241e-04,9.955174e-01,38,9.946916e-01,2.876512e-03
sample10-195rpm-60kx-6,1.308553e-08,-2.235592e-07,-1.968875e-06,4.209442e-05,-1.030744e-04,3.579651e-04,3.069024e-03,2.248818e-02,3.960512e-04,9.943350e-01,38,9.932915e-01,3.228374e-03
sample10-195rpm-60kx-7,1.501334e-08,-3.077769e-07,-6.638579e-07,3.399493e-05,-9.823194e-05,5.278527e-04,3.163652e-03,2.313546e-02,2.103217e-04,9.970813e-01,38,9.965436e-01,2.352612e-03
sample10-195rpm-60kx-9,1.948307e-08,-4.260232e-07,-2.342731e-07,4.472865e-05,-1.847955e-04,5.518666e-04,3.620624e-03,2.246300e-02,4.299033e-04,9.939232e-01,38,9.928038e-01,3.363517e-03
sample10-20rpm-60kx-11,8.604604e-09,-1.137208e-07,-2.092677e-06,2.795578e-05,-3.064960e-06,2.923480e-04,2.340205e-03,2.248408e-02,1.782733e-04,9.970746e-01,38,9.965358e-01,2.165964e-03
sample10-20rpm-60kx-12,1.144638e-08,-2.027929e-07,-1.357099e-06,2.941198e-05,-4.126271e-05,4.260870e-04,2.719224e-03,2.304803e-02,1.651580e-04,9.975797e-01,38,9.971339e-01,2.084769e-03
sample10-20rpm-60kx-13,7.235229e-09,-7.259935e-08,-2.392741e-06,2.647673e-05,1.775173e-05,2.852092e-04,2.344700e-03,2.289500e-02,1.574225e-04,9.975951e-01,38,9.971521e-01,2.035362e-03
sample10-20rpm-60kx-1,5.888882e-09,-3.429706e-08,-2.614306e-06,2.446340e-05,3.859083e-05,2.517050e-04,2.111846e-03,2.273534e-02,1.341177e-04,9.978604e-01,38,9.974662e-01,1.878673e-03
sample10-20rpm-60kx-2,8.981572e-09,-1.205264e-07,-2.167411e-06,3.012847e-05,-1.521310e-05,2.968015e-04,2.436577e-03,2.251297e-02,2.017417e-04,9.967510e-01,38,9.961525e-01,2.304125e-03
sample10-20rpm-60kx-3,1.047637e-08,-1.702400e-07,-1.679812e-06,2.975454e-05,-3.070259e-05,3.576538e-04,2.578137e-03,2.265739e-02,1.882106e-04,9.970528e-01,38,9.965099e-01,2.225514e-03
sample10-20rpm-60kx-4,7.956139e-09,-9.553517e-08,-2.192234e-06,2.681053e-05,7.911236e-06,2.944944e-04,2.320647e-03,2.267356e-02,1.592489e-04,9.974671e-01,38,9.970006e-01,2.047135e-03
sample10-20rpm-60kx-5,6.771012e-09,-6.163688e-08,-2.390762e-06,2.494200e-05,2.780524e-05,2.673409e-04,2.181738e-03,2.268259e-02,1.420920e-04,9.977210e-01,38,9.973011e-01,1.933717e-03
sample10-20rpm-60kx-7,7.921687e-09,-9.530787e-08,-2.169116e-06,2.646098e-05,9.928970e-06,2.761031e-04,2.252532e-03,2.245541e-02,1.634951e-04,9.972917e-01,38,9.967928e-01,2.074247e-03
sample10-20rpm-60kx-9,8.000573e-09,-9.781164e-08,-2.148478e-06,2.646197e-05,8.982312e-06,2.899431e-04,2.295231e-03,2.260221e-02,1.588212e-04,9.974376e-01,38,9.969656e-01,2.044384e-03
sample11-100rpm-60kx-10,8.669442e-09,-1.065198e-07,-2.394734e-06,3.167632e-05,-1.710692e-05,2.675428e-04,2.443403e-03,2.236809e-02,2.320508e-04,9.962406e-01,38,9.955481e-01,2.471154e-03
sample11-100rpm-60kx-11,8.739274e-09,-1.105237e-07,-2.308468e-06,3.089035e-05,-1.428284e-05,2.588051e-04,2.386451e-03,2.225341e-02,2.316108e-04,9.961190e-01,38,9.954041e-01,2.468810e-03
sample11-100rpm-60kx-13,8.494163e-09,-1.010876e-07,-2.440995e-06,3.162829e-05,-1.596372e-05,2.768683e-04,2.423923e-03,2.246739e-02,2.183625e-04,9.965034e-01,38,9.958593e-01,2.397161e-03
sample11-100rpm-60kx-16,5.504900e-09,-1.334832e-08,-3.018249e-06,2.781235e-05,3.124157e-05,1.930541e-04,2.090761e-03,2.236762e-02,1.860794e-04,9.968890e-01,38,9.963159e-01,2.212877e-03
sample11-100rpm-60kx-17,8.304789e-09,-9.402060e-08,-2.530230e-06,3.201284e-05,-1.510038e-05,2.623700e-04,2.421746e-03,2.238813e-02,2.296602e-04,9.963093e-01,38,9.956294e-01,2.458392e-03
sample11-100rpm-60kx-18,9.391307e-09,-1.242695e-07,-2.373910e-06,3.399278e-05,-3.386292e-05,2.786151e-04,2.534613e-03,2.232650e-02,2.615922e-04,9.958165e-01,38,9.950459e-01,2.623739e-03
sample11-100rpm-60kx-1,1.111865e-08,-1.794738e-07,-1.880410e-06,3.430782e-05,-5.284545e-05,3.142051e-04,2.670309e-03,2.223739e-02,2.788876e-04,9.954743e-01,38,9.946406e-01,2.709086e-03
sample11-100rpm-60kx-21,4.888682e-09,1.083899e-08,-3.364655e-06,2.987118e-05,2.652806e-05,2.164336e-04,2.132326e-03,2.265088e-02,1.712656e-04,9.973402e-01,38,9.968502e-01,2.122967e-03
sample11-100rpm-60kx-25,1.496647e-08,-2.843154e-07,-1.414237e-06,4.232610e-05,-1.240589e-04,4.016031e-04,3.213991e-03,2.236849e-02,4.106150e-04,9.940086e-01,38,9.929049e-01,3.287196e-03
sample11-100rpm-60kx-27,9.266783e-09,-1.296173e-07,-2.084406e-06,3.018729e-05,-1.779152e-05,2.829552e-04,2.421076e-03,2.228906e-02,2.169426e-04,9.963819e-01,38,9.957154e-01,2.389355e-03
sample11-100rpm-60kx-2,7.401740e-09,-7.124192e-08,-2.571764e-06,2.923749e-05,6.238849e-06,2.370687e-04,2.288935e-03,2.237777e-02,2.056261e-04,9.966079e-01,38,9.959830e-01,2.326201e-03
sample11-100rpm-60kx-31,1.115571e-08,-1.848866e-07,-1.729371e-06,3.269090e-05,-4.809744e-05,3.490990e-04,2.699590e-03,2.251617e-02,2.362136e-04,9.963029e-01,38,9.956218e-01,2.493220e-03
sample11-100rpm-60kx-33,5.363088e-09,-1.417475e-08,-2.881639e-06,2.580801e-05,3.868230e-05,2.266699e-04,2.079588e-03,2.260749e-02,1.459506e-04,9.976395e-01,38,9.972047e-01,1.959797e-03
sample11-100rpm-60kx-3,6.856712e-09,-5.565084e-08,-2.665912e-06,2.845790e-05,1.427988e-05,2.337992e-04,2.228352e-03,2.242924e-02,1.899461e-04,9.968740e-01,38,9.962982e-01,2.235751e-03
sample11-100rpm-60kx-4,9.814038e-09,-1.433521e-07,-2.060718e-06,3.178635e-05,-2.962297e-05,3.040818e-04,2.556813e-03,2.244685e-02,2.315455e-04,9.962995e-01,38,9.956178e-01,2.468462e-03
sample11-100rpm-60kx-5,1.005829e-08,-1.473878e-07,-2.117252e-06,3.330565e-05,-3.721732e-05,2.812908e-04,2.556547e-03,2.219803e-02,2.701656e-04,9.955472e-01,38,9.947270e-01,2.666387e-03
sample11-100rpm-60kx-6,1.000577e-08,-1.484159e-07,-2.048821e-06,3.239121e-05,-3.531668e-05,3.273127e-04,2.601730e-03,2.257698e-02,2.220424e-04,9.965461e-01,38,9.959099e-01,2.417275e-03
sample11-100rpm-60kx-8,7.419828e-09,-5.958614e-08,-2.990895e-06,3.418798e-05,-1.329622e-05,2.237443e-04,2.398227e-03,2.236818e-02,2.662174e-04,9.958122e-01,38,9.950408e-01,2.646832e-03
sample11-195rpm-60kx-11,1.108275e-08,-1.764325e-07,-1.955486e-06,3.506449e-05,-5.543752e-05,3.082948e-04,2.666369e-03,2.219719e-02,2.908448e-04,9.952748e-01,38,9.944044e-01,2.766552e-03
sample11-195rpm-60kx-12,2.038466e-08,-4.558216e-07,4.274510e-08,4.449373e-05,-1.943477e-04,6.543286e-04,4.002283e-03,2.340870e-02,3.684455e-04,9.955271e-01,38,9.947032e-01,3.113829e-03
sample11-195rpm-60kx-13,2.092382e-08,-4.747801e-07,2.527147e-07,4.415820e-05,-2.004070e-04,6.614729e-04,3.922296e-03,2.312362e-02,3.670292e-04,9.953277e-01,38,9.944670e-01,3.107839e-03
sample11-195rpm-60kx-14,1.062330e-08,-1.679397e-07,-1.876773e-06,3.253335e-05,-4.160713e-05,3.278898e-04,2.635903e-03,2.244619e-02,2.381794e-04,9.962183e-01,38,9.955217e-01,2.503573e-03
sample11-195rpm-60kx-19,8.821430e-09,-1.158459e-07,-2.199478e-06,3.000862e-05,-1.325766e-05,2.850952e-04,2.401023e-03,2.238326e-02,2.047182e-04,9.966440e-01,38,9.960258e-01,2.321060e-03
sample11-195rpm-60kx-1,1.064456e-08,-1.695003e-07,-1.842335e-06,3.222240e-05,-4.108715e-05,3.384092e-04,2.646383e-03,2.252153e-02,2.273645e-04,9.964305e-01,38,9.957730e-01,2.446074e-03
sample11-195rpm-60kx-22,1.003736e-08,-1.483076e-07,-2.070501e-06,3.268626e-05,-3.507869e-05,2.958731e-04,2.568315e-03,2.232974e-02,2.516400e-04,9.959223e-01,38,9.951711e-01,2.573345e-03
sample11-195rpm-60kx-24,1.840262e-08,-4.037590e-07,-1.346862e-07,3.970783e-05,-1.569394e-04,6.374732e-04,3.683818e-03,2.351266e-02,2.701168e-04,9.966190e-01,38,9.959962e-01,2.666147e-03
sample11-195rpm-60kx-25,7.030613e-09,-5.984363e-08,-2.664002e-06,2.906214e-05,1.010761e-05,2.339782e-04,2.248505e-03,2.239052e-02,1.967061e-04,9.967578e-01,38,9.961606e-01,2.275187e-03
