sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample10-195rpm-60kx-10,4.029676e-08,-1.398320e-06,8.823242e-06,-2.049626e-05,1.161035e-03,1.715121e-03,2.118642e-02,5.936596e-04,9.918478e-01,39,9.905936e-01,3.901543e-03
sample10-195rpm-60kx-11,8.020637e-08,-2.378476e-06,1.290088e-05,3.451342e-05,7.261313e-04,1.609013e-03,2.151133e-02,3.406756e-04,9.947278e-01,39,9.939167e-01,2.955550e-03
sample10-195rpm-60kx-2,6.769259e-08,-2.051823e-06,1.096350e-05,2.329500e-05,8.597847e-04,1.677245e-03,2.164062e-02,3.752726e-04,9.945476e-01,39,9.937088e-01,3.101995e-03
sample10-195rpm-60kx-3,5.275318e-08,-1.682113e-06,9.446080e-06,2.776201e-06,1.007388e-03,1.653876e-03,2.130543e-02,4.660569e-04,9.932855e-01,39,9.922525e-01,3.456903e-03
sample10-195rpm-60kx-4,5.753074e-08,-1.782178e-06,9.348459e-06,1.462066e-05,9.548951e-04,1.661893e-03,2.156602e-02,4.036504e-04,9.942378e-01,39,9.933513e-01,3.217143e-03
sample10-195rpm-60kx-5,5.305624e-08,-1.747299e-06,1.121720e-05,-1.283598e-05,1.039531e-03,1.713682e-03,2.111188e-02,5.704966e-04,9.918666e-01,39,9.906153e-01,3.824672e-03
sample10-195rpm-60kx-6,9.281152e-08,-2.891604e-06,2.028867e-05,-6.490184e-06,7.578767e-04,1.796966e-03,2.122787e-02,5.488923e-04,9.921488e-01,39,9.909410e-01,3.751555e-03
sample10-195rpm-60kx-7,5.520270e-08,-1.722527e-06,8.976672e-06,1.258146e-05,9.866808e-04,1.704189e-03,2.168948e-02,4.115143e-04,9.942893e-01,39,9.934107e-01,3.248330e-03
sample10-195rpm-60kx-9,4.502181e-08,-1.608126e-06,1.226203e-05,-4.099098e-05,1.147296e-03,1.726654e-03,2.058653e-02,7.687258e-04,9.891339e-01,39,9.874622e-01,4.439698e-03
sample10-20rpm-60kx-11,9.431396e-08,-2.699433e-06,1.361706e-05,6.044559e-05,5.553164e-04,1.503743e-03,2.165534e-02,2.443608e-04,9.959902e-01,39,9.953733e-01,2.503130e-03
