sample_name,a1,a2,a3,a4,a5,a6,SSE,R_square,DFE,adj_R_square,RMSE
sample10-195rpm-60kx-10,4.265115e+00,1.106302e-02,2.852637e-01,-1.420815e-02,-7.730088e-04,-3.559155e-04,1.947422e-03,9.992719e-01,40,9.991809e-01,6.977503e-03
sample10-195rpm-60kx-11,4.125322e+00,1.438865e-02,2.663462e-01,-1.458865e-02,-1.050501e-03,-3.172062e-04,1.328717e-03,9.994342e-01,40,9.993634e-01,5.763500e-03
sample10-195rpm-60kx-2,4.184694e+00,1.780519e-02,2.583320e-01,-1.557779e-02,-1.138770e-03,-3.363341e-04,1.262816e-03,9.994963e-01,40,9.994333e-01,5.618755e-03
sample10-195rpm-60kx-3,4.211880e+00,1.135131e-02,2.809432e-01,-1.419957e-02,-8.722420e-04,-3.361785e-04,1.512538e-03,9.994078e-01,40,9.993338e-01,6.149263e-03
sample10-195rpm-60kx-4,4.212359e+00,1.667330e-02,2.621235e-01,-1.546140e-02,-1.089436e-03,-3.409151e-04,1.227092e-03,9.995224e-01,40,9.994627e-01,5.538709e-03
sample10-195rpm-60kx-5,4.210769e+00,1.278208e-02,2.772210e-01,-1.432461e-02,-8.223181e-04,-3.519585e-04,2.085321e-03,9.991825e-01,40,9.990803e-01,7.220320e-03
sample10-195rpm-60kx-6,4.122317e+00,1.906069e-02,2.573565e-01,-1.502135e-02,-8.958318e-04,-3.592201e-04,3.345987e-03,9.985754e-01,40,9.983974e-01,9.146020e-03
sample10-195rpm-60kx-7,4.237983e+00,1.677441e-02,2.624122e-01,-1.559349e-02,-1.103453e-03,-3.451751e-04,1.219472e-03,9.995373e-01,40,9.994795e-01,5.521485e-03
sample10-195rpm-60kx-9,4.196824e+00,2.121338e-02,2.552873e-01,-1.585528e-02,-8.778729e-04,-3.846983e-04,3.037196e-03,9.987985e-01,40,9.986483e-01,8.713777e-03
sample10-20rpm-60kx-11,4.080104e+00,6.927026e-03,2.996522e-01,-1.291138e-02,-9.172593e-04,-2.790927e-04,1.088625e-03,9.995081e-01,40,9.994466e-01,5.216860e-03
sample10-20rpm-60kx-12,4.191300e+00,1.096612e-02,2.808009e-01,-1.430831e-02,-1.050514e-03,-3.118417e-04,9.368510e-04,9.996227e-01,40,9.995755e-01,4.839553e-03
sample10-20rpm-60kx-13,4.119107e+00,3.652811e-03,3.320733e-01,-1.235875e-02,-8.798056e-04,-2.643963e-04,1.041193e-03,9.995522e-01,40,9.994962e-01,5.101944e-03
sample10-20rpm-60kx-1,4.091123e+00,1.839618e-03,3.664567e-01,-1.185321e-02,-8.124834e-04,-2.416233e-04,9.492211e-04,9.995747e-01,40,9.995215e-01,4.871399e-03
sample10-20rpm-60kx-2,4.084249e+00,1.566806e-02,2.613988e-01,-1.471927e-02,-1.119794e-03,-3.083676e-04,1.295935e-03,9.994207e-01,40,9.993483e-01,5.691957e-03
