w1,w2,w3,w4,w5,w6,fval
9.684125e-01,1.007773e+00,1.032437e+00,1.007963e+00,1.040912e+00,9.591338e-01,2.857601e-11
1.000785e+00,1.013122e+00,9.972865e-01,1.024381e+00,9.917782e-01,1.010764e+00,5.877247e-13
9.710431e-01,1.025307e+00,1.034616e+00,9.504150e-01,1.038130e+00,1.002795e+00,3.578445e-11
1.002465e+00,1.021326e+00,1.010074e+00,1.018424e+00,9.695188e-01,1.019864e+00,1.669476e-13
9.727331e-01,1.019604e+00,1.035074e+00,9.475009e-01,1.036960e+00,1.008540e+00,5.259459e-12
1.003915e+00,1.027549e+00,9.946331e-01,1.028144e+00,9.820465e-01,1.018613e+00,2.404203e-13
9.742609e-01,1.024211e+00,1.035176e+00,9.385203e-01,1.035471e+00,1.012724e+00,1.193497e-13
1.005107e+00,1.002886e+00,9.964563e-01,1.031429e+00,9.842017e-01,1.025272e+00,1.339036e-12
9.751544e-01,1.030469e+00,1.034253e+00,9.584063e-01,1.036632e+00,9.849019e-01,7.860513e-14
1.006028e+00,1.022698e+00,9.981091e-01,1.030963e+00,9.373655e-01,1.033265e+00,8.889632e-14
9.755478e-01,1.012107e+00,1.028515e+00,1.004564e+00,1.015885e+00,1.003879e+00,2.422946e-12
1.007141e+00,1.030063e+00,1.008207e+00,1.030396e+00,9.489413e-01,1.021321e+00,3.304983e-13
9.766282e-01,9.985255e-01,1.029429e+00,9.947250e-01,1.029353e+00,1.011014e+00,1.831048e-11
1.008077e+00,1.027438e+00,9.518657e-01,1.035615e+00,9.990565e-01,1.019778e+00,1.385769e-12
9.776140e-01,9.948142e-01,1.045561e+00,9.793935e-01,1.028988e+00,1.014701e+00,1.223282e-11
1.009021e+00,1.033861e+00,1.008346e+00,9.986964e-01,9.903730e-01,9.815707e-01,5.869634e-12
9.786406e-01,9.881162e-01,9.979141e-01,1.039008e+00,1.030112e+00,1.005788e+00,9.878602e-12
1.010015e+00,1.035151e+00,1.030351e+00,9.782985e-01,9.926789e-01,1.003279e+00,2.356135e-12
9.797781e-01,9.820991e-01,9.950191e-01,1.041501e+00,1.034767e+00,1.010847e+00,1.235905e-12
